MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULE
3199.107,9706,81,4.156190672,40.4,10.1,11.8,9.29079608
3218.767,9787,81,4.120040692,40.4,10.1,11.9,9.4517416
3239.61,9874,87,4.174063235,39.8,9.95,11.9,9.87166166
3258.91,9953,79,4.093264249,39.8,9.95,11.9,9.140866
3278.744,10035,82,4.134314813,39.8,9.95,11.9,9.39377908
3299.453,10120,85,4.10449563,39.9,9.975,11.9,9.83284029
3319.687,10203,83,4.102006524,39.9,9.975,11.9,9.60730554
3338.634,10282,79,4.169525519,39.9,9.975,11.9,8.99622507
3359.677,10368,86,4.086869743,39.9,9.975,11.9,9.99142683
3379.779,10452,84,4.178688688,38.6,9.65,11.9,9.23365268
3398.568,10529,77,4.09814253,38.6,9.65,11.9,8.63053926
3418.63,10613,84,4.187020237,38.7,9.675,11.9,9.23915286
3439.26,10700,87,4.217159476,39.1,9.775,11.9,9.5989327
3459.264,10784,84,4.199160168,39.1,9.775,11.9,9.30766116
3483.105,10883,99,4.152510381,39.1,9.775,11.9,11.09297889
3516.465,11022,139,4.166666667,38,9.5,12,15.21216
3543.465,11134,112,4.148148148,38,9.5,11.9,12.2094
3571.562,11255,121,4.306509592,36.6,9.15,12,12.3402024
3578.531,11283,28,4.017793084,36.6,9.15,12,3.0607848
3600.932,11375,92,4.106959511,36.6,9.15,11.9,9.75653154
3618.94,11451,76,4.220346513,37.4,9.35,11.9,8.01464048
3639.457,11535,84,4.094165814,37.4,9.35,12.1,9.28476318
3659.197,11618,83,4.204660588,37.4,9.35,12.1,8.9331396
3679.146,11701,83,4.160609554,37.4,9.35,12,8.9531112
3700.029,11790,89,4.261839774,36.4,9.1,12,9.1216944
3719.11,11870,80,4.192652377,36.4,9.1,11.9,8.26512596
3739.068,11953,83,4.15873334,36.8,9.2,11.9,8.74000736
3758.515,12033,80,4.113745051,36.8,9.2,11.9,8.51623024
3778.74,12120,87,4.301606922,36.8,9.2,12,8.93136
3801.306,12214,94,4.165558805,36.8,9.2,11.9,9.88210272
3820.361,12293,79,4.145893466,37.9,9.475,11.9,8.59399555
3838.823,12370,77,4.170729065,37.9,9.475,11.9,8.32654662
3859.917,12457,87,4.124395563,37.9,9.475,11.9,9.51360494
3879.21,12538,81,4.198413933,38.3,9.575,11.9,8.79317061
,,,,,,7.3,3409.311435
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
-0.8983738208,,,,,,,
